listing_id	location	title	sub_title	mileage	engine_details	asking_price	vendor	sale_type
1668259727466-3823318148-location	Christchurch, Canterbury	2020 Nissan X-Trail	 NZ NEW | EX DEMO | 7 SEATS | LEATHER 	17,000km	2488cc, Petrol, Automatic	$36,990		Asking price  $36,990
1668259727506-3823307433-location	Christchurch, Canterbury	2011 Nissan Serena	sub_title missing	128,500km	1990cc, Petrol, Automatic	$10,480		Asking price  $10,480
1668259727514-3823203614-location	Christchurch, Canterbury	2017 Nissan Navara	 NZ NEW | ONE OWNER FROM NEW | AUTO | CANOPY 	158,800km	2298cc, Diesel, Automatic	$29,990		Asking price  $29,990
1668259727533-3823203573-location	Christchurch, Canterbury	2022 Nissan X-Trail	 RUN OUT NOW ON | 3.9% FINANCE | LIMITED STOCK 	15km	2488cc, Petrol, Automatic	$43,600		Asking price  $43,600
1668259727542-3823203565-location	Christchurch, Canterbury	2022 Nissan Navara	 SL 450 LTD EDITION | 4WD | AUTO | 	15km	2298cc, Diesel, Automatic	$62,437.50		Asking price  $62,437.50
1668259727549-3823077658-location	Waitakere, Auckland	2015 Nissan Navara	sub_title missing	77,262km	2488cc, Diesel, Manual	$25,000	 Private seller 	Or near offer  $25,000
1668259733930-3823036503-location	Auckland, Auckland	2019 Nissan X-Trail	 4WD FAMILY SUV ! 	77,800km	2488cc, Petrol, Automatic	$26,450		Asking price  $26,450
1668259733998-3822927059-location	Auckland, Auckland	2019 Nissan Pathfinder	 FAMILY 7 SEATER SUV! 	50,911km	3498cc, Petrol, Automatic	$33,990		Asking price  $33,990
1668259734024-3822911427-location	Paeroa, Waikato	2018 Nissan X-Trail	 Multi-Award Winning Dealership 	74,525km	2488cc, Petrol, Automatic	$27,990		Asking price  $27,990
1668259734096-3822847604-location	Christchurch, Canterbury	2016 Nissan Navara	" NZ NEW - 6 SPEED MANUAL - 20"""" ALLOYS "	71,914km	2488cc, Petrol, Manual	$27,990		Asking price  $27,990
1668259734181-3822111983-location	Porirua, Wellington	2017 Nissan NV350	sub_title missing	159,000km	2000cc, Petrol, Automatic	$22,900	 Private seller 	Asking price  $22,900
1668259734288-3822052504-location	Waitakere, Auckland	2007 Nissan Navara	sub_title missing	253,979km	2488cc, Diesel, Automatic	$12,000	 Private seller 	sale_type missing
1668259734298-3822017356-location	Porirua, Wellington	2016 Nissan NV350	sub_title missing	120,000km	2500cc, Diesel, Automatic	$27,900	 Private seller 	Asking price  $27,900
1668259734391-3822010614-location	Auckland, Auckland	2010 Nissan Juke	sub_title missing	112,000km	1610cc, Petrol, Automatic	$10,990		Asking price  $10,990
1668259734485-3821924286-location	Christchurch City, Canterbury	2014 Nissan X-TRAIL	 20X-LOW KMS 	39,003km	2000cc, Petrol, Automatic	$23,980	 Private seller 	Asking price  $23,980
1668259734581-3821826187-location	, Waikato	2019 Nissan Leaf	sub_title missing	35,000km	Electric, Automatic	$42,995		Asking price  $42,995
1668259734682-3821732055-location	Christchurch, Canterbury	2020 Nissan Navara	" 20"""" ALLOYS - DIESEL TURBO - HARD LID! "	39,611km	2298cc, Diesel, Automatic	$34,990		Asking price  $34,990
